wallet,score,n_deposit,n_borrow,n_repay,n_liquid,amt_deposit,amt_borrow,amt_repay,active_days,borrow_to_deposit_ratio,repayment_ratio,liquidation_rate
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1000,1,0,0,0,1153676531039.4421,0.0,0.0,1,0.0,0.0,0.0
0x00080000158a9930aeb508823103b0a977161c47,1000,2,0,0,0,2617513598912.1426,0.0,0.0,9,0.0,0.0,0.0
0x00099b1263c22ae2ce0a52624cef2a012e751970,1000,2,0,0,0,1058147343307.2289,0.0,0.0,7,0.0,0.0,0.0
0x0009ce45d5df78e632a0b4987079432dfba2253a,1000,1,0,0,0,32446847156.000053,0.0,0.0,1,0.0,0.0,0.0
0x000a27ba176083e4b50177378cbe7469a00dd557,1000,4,2,2,0,277.8849972393591,160.3863100380374,160.22581757470164,33,0.5750983797109114,0.9928092261167489,0.0
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,1000,18,8,5,0,1.932663909054446e+16,73564641652974.1,13381.494379508398,25,0.0038063856477231744,1.8190116989399112e-10,0.0
0x000ab43e658935ba39504a1424b01756c1e9644c,1000,1,1,0,0,113652379383.43968,11365237938.343967,0.0,1,0.09999999999912011,0.0,0.0
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,1000,49,0,0,0,273511544478460.5,0.0,0.0,123,0.0,0.0,0.0
0x000c8e2871750f458bf1de8ab528dda09bc95db6,1000,1,1,1,0,5480588573862458.0,2366767191230522.0,2366767191230522.0,1,0.43184544129400626,0.9999999999999996,0.0
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,1000,20,20,17,0,187610630403321.75,963.8765146793129,933.0977900335208,66,5.137643387302651e-12,0.9670644645586031,0.0
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,1000,4,1,1,0,282105637602505.3,40.10267633402084,40.31433339845019,30,1.4215482070771831e-13,0.9808201556228556,0.0
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1000,1,0,0,0,1218108806.2153707,0.0,0.0,1,0.0,0.0,0.0
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1000,1,0,0,0,139205585052.03293,0.0,0.0,1,0.0,0.0,0.0
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,1000,1,3,2,0,760406186165331.4,886.7244790708098,503.6501564107848,80,1.1661194966633432e-12,0.5673496318789818,0.0
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,1000,6,0,0,0,7053997334319022.0,0.0,0.0,20,0.0,0.0,0.0
0x000e840a3122ec28d0c29321db172375cb049762,1000,5,2,2,0,700190083689281.1,216.8257036891647,217.3913973215126,26,3.096669157990871e-13,0.9980061748439393,0.0
0x000e9bd1d42999446d60ff60f1fb3afb13604202,1000,8,6,4,0,66654123810212.97,34.630956155900854,35.37800801727156,1,5.195620942300056e-13,0.99290088827472,0.0
0x000eab293e332bd6e67018a9150e8807bfac3233,1000,1,0,0,0,1097254760600.487,0.0,0.0,1,0.0,0.0,0.0
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,1000,1,0,0,0,102377389231888.69,0.0,0.0,15,0.0,0.0,0.0
